name,url,description,category,test_type,adaptive_support,remote_support,duration
SHL Verify G+ Test,https://www.shl.com/solutions/products/assessments/verify-g-plus/,General cognitive ability assessment measuring critical reasoning skills,Knowledge & Skills,Ability & Aptitude|Knowledge & Skills,No,Yes,30
SHL Numerical Reasoning Test,https://www.shl.com/solutions/products/assessments/verify-numerical/,Measures ability to work with numerical data and solve problems,Knowledge & Skills,Ability & Aptitude,Yes,Yes,25
SHL Verbal Reasoning Test,https://www.shl.com/solutions/products/assessments/verify-verbal/,Assesses verbal comprehension and reasoning abilities,Knowledge & Skills,Ability & Aptitude,Yes,Yes,19
SHL Inductive Reasoning Test,https://www.shl.com/solutions/products/assessments/verify-inductive/,Evaluates logical thinking and pattern recognition,Knowledge & Skills,Ability & Aptitude,Yes,Yes,18
SHL Deductive Reasoning Test,https://www.shl.com/solutions/products/assessments/verify-deductive/,Tests logical deduction and rule-based reasoning,Knowledge & Skills,Ability & Aptitude,No,Yes,20
SHL Mechanical Comprehension Test,https://www.shl.com/solutions/products/assessments/mechanical-comprehension/,Assesses understanding of mechanical principles and concepts,Knowledge & Skills,Knowledge & Skills,No,Yes,30
SHL Calculation Test,https://www.shl.com/solutions/products/assessments/verify-calculation/,Measures basic numerical computation skills,Knowledge & Skills,Ability & Aptitude,No,Yes,10
SHL Checking Test,https://www.shl.com/solutions/products/assessments/verify-checking/,Evaluates attention to detail and error detection,Knowledge & Skills,Ability & Aptitude,No,Yes,12
Java Programming Test,https://www.shl.com/solutions/products/assessments/java-test/,Technical assessment for Java programming skills and knowledge,Knowledge & Skills,Knowledge & Skills,No,Yes,45
Python Programming Test,https://www.shl.com/solutions/products/assessments/python-test/,Evaluates Python programming capabilities and best practices,Knowledge & Skills,Knowledge & Skills,No,Yes,45
JavaScript Programming Test,https://www.shl.com/solutions/products/assessments/javascript-test/,Tests JavaScript programming skills and web development knowledge,Knowledge & Skills,Knowledge & Skills,No,Yes,40
SQL Database Test,https://www.shl.com/solutions/products/assessments/sql-test/,Assesses SQL query writing and database management skills,Knowledge & Skills,Knowledge & Skills,No,Yes,35
C++ Programming Test,https://www.shl.com/solutions/products/assessments/cpp-test/,Technical assessment for C++ programming proficiency,Knowledge & Skills,Knowledge & Skills,No,Yes,45
.NET Development Test,https://www.shl.com/solutions/products/assessments/dotnet-test/,Evaluates .NET framework knowledge and C# programming skills,Knowledge & Skills,Knowledge & Skills,No,Yes,45
Occupational Personality Questionnaire (OPQ32),https://www.shl.com/solutions/products/assessments/opq32/,Comprehensive personality assessment for workplace behavior,Personality & Behavior,Personality & Behavior,No,Yes,45
SHL Situational Judgement Test,https://www.shl.com/solutions/products/assessments/sjt/,Evaluates decision-making in workplace scenarios,Personality & Behavior,Biodata & Situational Judgement,No,Yes,30
SHL Motivation Questionnaire (MQ),https://www.shl.com/solutions/products/assessments/motivation-questionnaire/,Assesses workplace motivators and drivers,Personality & Behavior,Personality & Behavior,No,Yes,25
SHL Cultural Fit Assessment,https://www.shl.com/solutions/products/assessments/cultural-fit/,Evaluates alignment with organizational culture and values,Personality & Behavior,Personality & Behavior,No,Yes,20
SHL Leadership Assessment,https://www.shl.com/solutions/products/assessments/leadership/,Comprehensive evaluation of leadership potential and competencies,Personality & Behavior,Competencies|Personality & Behavior,No,Yes,60
SHL Teamwork Assessment,https://www.shl.com/solutions/products/assessments/teamwork/,Measures collaboration and team interaction skills,Personality & Behavior,Competencies|Personality & Behavior,No,Yes,30
SHL Customer Service Assessment,https://www.shl.com/solutions/products/assessments/customer-service/,Evaluates customer-focused behaviors and service orientation,Personality & Behavior,Competencies|Personality & Behavior,No,Yes,25
SHL Management Simulation,https://www.shl.com/solutions/products/assessments/management-simulation/,Interactive simulation for assessing management competencies,Personality & Behavior,Simulations|Assessment Exercises,No,Yes,90
SHL Sales Simulation,https://www.shl.com/solutions/products/assessments/sales-simulation/,Role-play simulation for sales competency assessment,Personality & Behavior,Simulations,No,Yes,60
SHL In-Basket Exercise,https://www.shl.com/solutions/products/assessments/in-basket/,Prioritization and decision-making exercise,Knowledge & Skills,Assessment Exercises,No,Yes,45
Data Analysis Test,https://www.shl.com/solutions/products/assessments/data-analysis/,Assesses data interpretation and analytical skills,Knowledge & Skills,Knowledge & Skills,No,Yes,35
Microsoft Office Skills Test,https://www.shl.com/solutions/products/assessments/microsoft-office/,Tests proficiency in Microsoft Office applications,Knowledge & Skills,Knowledge & Skills,No,Yes,30
Project Management Assessment,https://www.shl.com/solutions/products/assessments/project-management/,Evaluates project management knowledge and skills,Knowledge & Skills,Knowledge & Skills|Competencies,No,Yes,40
Financial Reasoning Test,https://www.shl.com/solutions/products/assessments/financial-reasoning/,Assesses understanding of financial concepts and analysis,Knowledge & Skills,Knowledge & Skills,No,Yes,35
Critical Thinking Assessment,https://www.shl.com/solutions/products/assessments/critical-thinking/,Evaluates analytical and critical thinking abilities,Knowledge & Skills,Ability & Aptitude,Yes,Yes,30
